,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females
Cuba,77.9,121.0,3.2,46.2,41.5,587.3,17.6,112.6,21.1,296.3,199.2,198.5,694.4,146.7,120.2,71.2,35.9,192.3,35.4,52.2,0.5,207.2,93.3,48.3,64.6,23.7,11.8,332.3,8.5,57.0,10.0,153.7,86.8,93.0,394.4,73.7,76.1,33.0,16.9,86.3,18.7,23.7,0.3,131.9,72.3,29.6,56.4,3.2,22.5,29.6,255.0,9.1,55.6,11.0,142.6,112.3,105.6,300.0,72.9,44.1,38.1,19.0,106.0,16.7,28.5,0.2,75.3,21.0
Cyprus,3.6,3.0,0.1,3.2,0.9,43.5,1.6,12.5,3.8,22.1,16.2,10.4,50.3,12.8,6.3,6.6,2.7,17.0,2.5,3.8,0.1,16.4,4.0,2.0,1.5,1.8,0.3,26.0,0.8,6.8,1.5,10.1,6.7,4.9,30.1,7.2,3.9,3.2,1.1,6.7,1.2,1.7,0.1,10.2,3.0,1.6,1.5,0.1,1.5,0.5,17.5,0.8,5.7,2.3,12.1,9.5,5.5,20.3,5.6,2.4,3.4,1.6,10.3,1.3,2.1,0.0,6.2,1.0
Czechia,48.3,69.9,0.7,28.7,21.1,635.4,11.5,126.2,30.0,233.6,174.7,170.2,854.6,118.5,141.5,73.7,27.8,193.2,27.6,47.3,1.0,323.0,67.6,25.7,40.6,15.3,8.6,360.6,6.2,66.2,12.9,119.3,76.3,77.4,467.5,71.5,85.8,32.8,12.6,83.4,14.0,21.2,0.7,197.5,52.3,22.7,29.3,0.7,13.5,12.5,274.8,5.2,59.9,17.0,114.3,98.4,92.8,387.1,47.0,55.7,40.9,15.1,109.8,13.6,26.1,0.4,125.5,15.3
Democratic People's Republic of Korea,538.4,212.9,18.0,310.4,144.2,1240.5,11.3,168.5,57.1,539.5,271.1,394.9,2065.2,709.1,214.0,205.2,74.1,354.9,152.2,49.7,2.2,687.8,214.8,313.2,117.8,174.7,44.5,672.8,5.0,81.4,26.5,272.3,104.9,172.2,1199.0,370.2,131.9,86.7,34.0,125.2,77.2,21.8,1.1,472.4,130.2,225.3,95.1,18.0,135.7,99.7,567.6,6.3,87.0,30.6,267.2,166.2,222.7,866.3,338.8,82.1,118.5,40.1,229.7,75.1,27.9,1.1,215.4,84.6
Democratic Republic of the Congo,17802.8,5647.6,977.2,8273.1,3363.1,1435.2,59.1,370.3,552.1,1522.3,666.9,973.3,2237.9,720.6,1214.9,417.9,328.2,547.1,1781.2,124.4,185.4,4632.5,1061.9,9341.6,2843.6,4683.3,1906.5,663.8,28.6,227.8,282.2,804.0,265.9,493.1,1075.8,291.5,717.9,209.9,141.5,261.1,1014.1,60.7,115.0,3027.5,802.5,8461.1,2804.0,977.2,3589.8,1456.6,771.5,30.5,142.4,270.0,718.3,401.0,480.3,1162.1,429.1,497.1,208.1,186.6,286.0,767.1,63.7,70.4,1605.1,259.4
Denmark,18.6,34.2,0.4,21.8,5.5,346.3,6.2,46.2,18.9,162.9,124.0,53.2,228.7,97.4,53.8,30.2,16.3,149.7,19.3,29.1,0.2,80.7,29.9,9.4,17.9,11.5,2.1,183.4,3.2,27.7,9.2,87.9,51.0,24.8,130.9,48.3,32.5,15.1,7.1,63.2,9.9,13.7,0.1,45.5,20.7,9.2,16.4,0.4,10.2,3.4,162.9,3.0,18.5,9.7,74.9,73.0,28.4,97.9,49.2,21.3,15.1,9.2,86.4,9.4,15.4,0.1,35.1,9.2
Djibouti,103.6,37.0,3.8,58.0,24.8,20.9,1.5,7.6,4.0,18.6,10.7,10.5,41.1,7.9,17.1,8.1,4.7,7.6,12.1,1.5,0.8,41.8,7.8,52.8,19.9,32.4,13.6,9.0,0.7,4.6,2.1,9.7,5.4,5.3,22.9,4.3,10.4,4.3,2.2,3.6,6.7,0.7,0.5,26.5,5.5,50.7,17.1,3.8,25.6,11.2,11.9,0.8,3.0,2.0,8.9,5.3,5.2,18.2,3.6,6.7,3.8,2.5,3.9,5.4,0.8,0.3,15.3,2.3
Dominican Republic,251.6,125.5,9.5,358.5,41.5,276.3,8.9,100.0,24.8,223.1,119.7,125.5,569.0,76.3,103.0,94.2,32.4,124.2,121.8,30.8,0.9,323.7,163.9,137.6,72.5,193.8,13.5,140.5,4.9,52.3,11.6,113.8,52.8,59.4,323.0,38.2,63.0,47.8,15.2,57.2,66.7,14.0,0.4,246.9,138.9,113.9,53.0,9.5,164.6,28.0,135.8,3.9,47.7,13.2,109.3,66.9,66.0,246.0,38.0,40.0,46.3,17.2,67.0,55.1,16.8,0.5,76.7,25.0
Ecuador,204.7,191.4,14.9,286.4,38.7,401.1,28.1,204.2,35.3,362.9,176.8,212.6,459.6,114.9,182.7,111.7,52.7,200.4,186.9,49.2,2.4,502.2,156.9,126.8,103.9,163.0,18.1,187.4,14.4,99.0,16.1,191.3,78.5,102.6,261.2,63.6,103.8,52.8,24.9,86.5,102.7,23.7,1.5,373.9,121.3,77.9,87.5,14.9,123.4,20.6,213.7,13.7,105.2,19.2,171.6,98.3,110.0,198.4,51.3,79.0,58.9,27.8,113.9,84.3,25.5,0.9,128.4,35.6
Egypt,1167.6,1253.5,64.3,2558.8,429.8,2488.1,122.8,1091.0,341.3,1992.2,1160.8,1514.6,6349.3,1058.3,2201.5,862.4,245.0,1293.0,1505.0,208.4,53.1,1886.1,528.8,648.5,737.2,1450.7,183.8,1374.6,64.9,564.1,203.3,994.8,506.4,704.7,3398.5,593.8,1381.3,440.3,116.5,565.8,808.7,102.1,29.1,1358.5,417.7,519.0,516.4,64.3,1108.2,246.0,1113.5,57.9,526.9,138.0,997.5,654.4,809.9,2950.9,464.5,820.1,422.1,128.5,727.2,696.3,106.3,24.0,527.6,111.1
El Salvador,85.2,74.8,3.5,67.4,16.8,177.3,0.5,86.4,7.3,170.6,88.1,95.5,223.8,44.2,87.3,140.0,18.4,69.1,55.8,18.8,2.9,153.4,232.2,53.8,44.6,37.6,9.2,71.8,0.3,36.9,3.4,107.0,36.4,41.8,122.8,20.5,57.3,88.0,8.5,26.3,28.6,7.3,1.6,118.6,199.3,31.4,30.2,3.5,29.8,7.6,105.5,0.2,49.5,3.9,63.6,51.7,53.7,101.0,23.7,30.0,52.0,9.9,42.8,27.3,11.4,1.2,34.8,32.9
Equatorial Guinea,254.8,78.0,8.3,106.4,24.1,18.9,0.9,11.7,8.2,20.5,13.1,8.3,45.0,10.4,30.7,9.4,5.9,8.1,24.5,1.6,1.9,67.9,13.9,141.0,43.6,59.8,13.7,9.1,0.4,7.6,3.7,11.9,6.2,4.5,25.1,4.7,20.5,5.4,3.0,3.9,14.0,0.8,1.2,48.1,11.1,113.7,34.4,8.3,46.6,10.4,9.8,0.5,4.1,4.5,8.5,6.9,3.8,19.8,5.7,10.2,4.0,2.9,4.2,10.5,0.7,0.6,19.8,2.8
Eritrea,416.9,213.2,40.4,237.6,118.9,110.9,3.7,32.3,17.3,102.5,45.4,55.7,183.2,44.2,76.5,29.4,22.3,31.0,61.2,7.3,4.6,207.2,49.1,223.3,119.2,134.6,63.9,43.5,1.8,19.0,9.6,53.8,22.0,27.6,100.0,24.5,48.8,14.8,10.7,14.8,32.0,3.4,2.7,137.2,36.7,193.6,94.0,40.4,103.0,55.0,67.5,1.8,13.3,7.8,48.7,23.4,28.1,83.2,19.7,27.7,14.6,11.6,16.2,29.2,3.9,1.9,70.0,12.4
Estonia,7.8,7.7,0.2,3.3,1.5,85.8,1.5,9.7,2.6,47.5,21.4,21.3,134.5,10.1,19.8,12.0,3.6,24.4,4.2,5.7,0.1,35.6,12.5,4.4,5.0,1.7,0.5,48.2,0.7,4.5,0.8,27.1,8.8,8.0,67.6,6.1,12.5,4.8,1.5,9.8,2.0,2.3,0.1,22.5,10.1,3.3,2.6,0.2,1.6,0.9,37.5,0.9,5.2,1.8,20.4,12.5,13.3,66.9,4.0,7.3,7.3,2.0,14.6,2.1,3.4,0.1,13.2,2.5
Ethiopia,11042.7,4303.8,847.2,7186.5,1823.9,2012.5,104.4,528.7,340.4,2089.7,895.2,1176.7,3009.9,721.1,1483.3,622.5,450.0,679.9,1497.6,136.8,101.3,4448.7,1004.8,5938.2,2397.5,4128.3,979.5,750.1,52.6,310.4,180.3,1152.9,460.2,577.6,1649.0,370.2,956.1,334.7,217.7,325.4,761.6,64.2,56.4,2885.5,733.9,5104.5,1906.3,847.2,3058.3,844.4,1262.4,51.8,218.3,160.1,936.8,435.0,599.1,1360.9,351.0,527.2,287.7,232.2,354.5,735.9,72.6,44.8,1563.2,270.9
Fiji,15.4,11.1,0.4,12.7,5.6,20.7,1.8,53.5,4.8,15.7,8.8,11.1,63.8,13.9,5.1,11.8,4.0,12.5,9.3,1.4,0.1,20.5,4.2,9.0,6.4,6.7,2.4,9.1,1.0,28.5,3.0,8.1,4.7,5.5,42.4,8.3,3.5,6.7,2.1,5.3,5.3,0.7,0.1,13.5,3.1,6.4,4.7,0.4,5.9,3.2,11.7,0.8,25.0,1.8,7.6,4.1,5.6,21.5,5.6,1.6,5.0,1.9,7.2,4.0,0.7,0.0,7.0,1.1
Finland,9.6,12.6,0.2,12.4,3.8,260.1,6.0,38.0,12.2,183.5,185.7,64.9,330.4,55.5,65.2,22.8,15.4,112.5,19.9,26.1,0.7,111.8,43.9,4.9,6.5,6.5,1.4,141.0,2.7,21.0,4.9,100.3,72.9,29.8,190.1,31.8,44.4,10.8,6.8,45.2,10.0,11.6,0.4,67.2,32.1,4.6,6.1,0.2,5.9,2.4,119.1,3.3,17.0,7.3,83.3,112.8,35.1,140.3,23.8,20.8,12.0,8.6,67.3,9.9,14.6,0.3,44.6,11.9
France,203.2,305.4,7.0,208.0,76.4,3698.3,129.4,379.1,211.0,1836.6,1488.4,856.7,2432.6,613.3,537.3,345.2,189.6,1226.5,196.1,250.5,11.4,1149.2,431.6,107.4,153.3,110.8,28.8,2198.3,73.0,211.8,99.5,845.6,589.2,386.0,1315.9,333.3,340.7,158.4,79.3,499.0,101.5,108.0,6.8,651.1,305.1,95.8,152.2,7.0,97.2,47.6,1500.0,56.4,167.2,111.5,991.0,899.3,470.8,1116.7,280.0,196.6,186.9,110.3,727.5,94.6,142.5,4.6,498.1,126.5
Gabon,278.0,59.6,9.3,102.7,34.5,28.6,0.9,15.0,7.0,36.1,20.1,20.0,57.7,14.5,32.3,12.8,7.8,16.0,29.5,3.3,1.0,70.7,18.3,147.4,32.2,57.7,16.8,14.6,0.5,8.4,3.2,19.5,8.3,10.2,27.8,6.6,20.7,5.8,3.6,7.6,17.1,1.7,0.6,47.8,14.7,130.5,27.3,9.3,45.0,17.6,14.0,0.4,6.6,3.8,16.6,11.8,9.8,29.9,7.9,11.6,6.9,4.2,8.4,12.3,1.6,0.4,22.9,3.7
Gambia,266.5,101.0,32.9,188.9,63.8,23.4,1.3,7.8,17.7,37.3,18.5,17.2,68.1,15.8,28.0,17.6,7.9,13.9,45.3,4.0,2.3,95.1,18.6,138.6,54.0,108.0,30.9,14.2,0.6,3.5,7.4,18.0,8.8,8.4,36.6,8.0,16.6,9.2,3.5,6.3,20.9,2.0,1.5,59.9,14.8,127.9,47.0,32.9,81.0,32.9,9.2,0.7,4.3,10.3,19.3,9.7,8.8,31.5,7.8,11.4,8.4,4.4,7.6,24.4,2.1,0.8,35.2,3.7
Georgia,37.1,19.8,1.5,32.8,17.0,192.1,5.0,45.2,8.4,80.5,69.1,75.6,663.7,52.8,67.0,40.2,9.7,56.8,22.2,16.7,0.4,109.5,25.2,25.4,11.8,17.9,6.2,105.4,2.8,23.5,4.5,40.7,24.4,32.0,364.9,32.2,50.7,18.7,4.4,22.9,11.6,7.0,0.2,78.6,21.0,11.7,8.0,1.5,14.9,10.8,86.6,2.1,21.7,3.9,39.7,44.7,43.6,298.8,20.5,16.3,21.5,5.3,33.8,10.6,9.7,0.2,30.9,4.3
Germany,366.5,436.8,6.0,243.7,87.9,5006.8,135.4,776.5,292.3,2287.2,1873.7,1361.6,5518.3,1266.0,935.5,671.1,229.2,1829.1,265.1,413.5,9.7,1337.6,441.5,194.5,237.1,127.9,25.6,2812.3,71.0,410.0,146.2,1119.7,768.9,631.7,2954.8,694.2,571.2,323.3,99.2,753.4,137.7,187.1,5.8,745.6,308.8,172.0,199.8,6.0,115.8,62.3,2194.5,64.3,366.4,146.1,1167.5,1104.8,729.9,2563.5,571.8,364.3,347.8,130.0,1075.7,127.4,226.4,4.0,592.0,132.7
Ghana,3478.9,1085.1,164.3,1950.8,580.1,431.8,16.4,199.7,245.2,538.0,263.7,271.5,1153.5,201.0,445.6,248.9,101.4,220.3,480.7,45.8,11.7,1059.7,249.1,1743.9,635.8,1075.9,269.0,210.5,10.2,106.9,116.3,288.5,108.3,128.0,404.9,101.7,273.1,145.6,43.6,96.6,249.6,22.1,9.5,646.4,164.9,1735.0,449.3,164.3,874.9,311.0,221.3,6.2,92.8,128.9,249.5,155.3,143.5,748.6,99.4,172.5,103.3,57.8,123.6,231.1,23.7,2.2,413.3,84.3
Greece,62.2,111.4,0.6,29.2,9.6,645.7,6.6,63.6,28.1,285.2,197.9,160.9,750.6,192.7,76.6,92.2,27.0,217.3,30.8,54.4,0.5,198.7,31.3,27.5,53.9,15.3,3.0,395.9,3.5,33.6,12.7,132.6,80.8,74.7,416.1,103.0,47.0,42.0,11.4,84.8,16.1,24.2,0.2,126.0,23.4,34.7,57.5,0.6,13.8,6.7,249.7,3.1,30.0,15.4,152.6,117.1,86.3,334.5,89.7,29.7,50.2,15.6,132.6,14.7,30.1,0.2,72.6,7.9
Grenada,0.9,1.4,0.0,1.6,0.6,4.0,0.1,2.4,1.0,2.4,1.1,1.2,5.5,0.8,1.0,0.8,0.6,1.6,0.6,0.3,0.1,2.6,0.4,0.5,0.7,0.9,0.3,2.2,0.1,1.2,0.5,1.2,0.4,0.6,2.9,0.4,0.7,0.4,0.3,0.7,0.3,0.1,0.0,1.9,0.3,0.4,0.7,0.0,0.7,0.3,1.8,0.1,1.2,0.4,1.2,0.6,0.7,2.6,0.5,0.3,0.4,0.3,0.9,0.2,0.2,0.0,0.7,0.1
Guatemala,370.7,315.5,23.1,463.2,123.4,242.0,17.4,249.4,37.4,386.3,166.2,195.0,332.7,99.0,241.6,153.0,49.3,151.7,169.1,40.9,10.3,504.6,294.7,205.4,167.9,261.6,63.3,102.1,8.6,106.3,17.7,224.5,70.9,90.6,168.6,49.7,147.2,73.2,22.6,60.5,89.1,16.9,5.3,382.2,241.1,165.3,147.6,23.1,201.7,60.1,139.9,8.8,143.1,19.6,161.8,95.2,104.4,164.0,49.3,94.4,79.8,26.7,91.2,79.9,24.0,5.0,122.3,53.5
Guinea,2663.9,896.1,168.9,968.6,313.3,159.5,8.6,76.1,163.0,240.6,114.9,145.9,525.5,129.4,222.7,115.3,45.2,100.1,229.7,22.0,13.6,602.5,113.5,1344.4,474.1,552.0,137.9,71.9,4.8,30.0,50.3,127.3,53.0,70.5,251.0,65.9,129.3,59.4,20.5,45.8,107.7,10.8,9.0,374.9,77.6,1319.5,422.0,168.9,416.6,175.4,87.6,3.9,46.1,112.7,113.3,61.9,75.4,274.6,63.5,93.4,56.0,24.8,54.4,122.0,11.2,4.6,227.7,35.9
Guinea-Bissau,371.9,119.0,15.5,204.8,39.5,25.7,1.6,10.1,13.0,34.6,14.5,21.3,61.0,14.8,23.1,16.3,6.4,14.8,39.4,3.4,2.1,75.4,15.2,195.7,63.0,119.6,17.8,11.7,0.9,4.1,5.8,17.5,6.5,10.1,29.3,7.9,13.4,8.5,2.8,6.7,18.8,1.6,1.4,48.3,7.0,176.2,56.0,15.5,85.3,21.7,14.0,0.7,6.0,7.2,17.1,8.0,11.1,31.6,6.9,9.7,7.8,3.6,8.1,20.6,1.7,0.7,27.1,8.2
Guyana,34.9,10.9,1.6,27.1,8.7,17.6,1.2,20.2,5.1,20.1,8.7,8.4,61.2,8.1,14.3,7.9,2.3,8.7,7.0,2.2,0.1,27.8,20.9,21.1,6.1,15.4,3.7,6.9,0.6,9.3,2.3,10.5,4.1,4.0,33.6,4.7,9.7,3.7,1.1,4.1,3.6,1.0,0.0,21.8,15.7,13.8,4.8,1.6,11.6,5.0,10.7,0.6,10.9,2.8,9.6,4.6,4.4,27.7,3.4,4.6,4.2,1.3,4.6,3.4,1.2,0.0,6.0,5.2
Haiti,838.4,477.8,64.0,596.5,199.5,204.0,3.8,152.9,77.3,233.5,122.7,144.6,780.2,152.9,179.3,124.8,37.3,119.1,174.8,26.4,5.5,555.5,276.1,442.5,265.8,332.3,91.5,91.6,1.1,58.3,35.5,121.2,57.6,65.0,385.7,83.1,108.0,59.5,17.6,52.0,86.6,11.8,3.4,390.4,211.7,396.0,212.1,64.0,264.2,108.1,112.4,2.7,94.6,41.8,112.3,65.2,79.6,394.6,69.8,71.3,65.3,19.6,67.1,88.3,14.5,2.1,165.2,64.4
Honduras,159.7,63.1,16.9,159.8,33.7,163.9,1.4,52.5,15.3,157.6,96.2,103.0,253.6,63.9,95.0,82.2,22.4,85.6,90.5,19.9,1.6,155.0,314.4,89.4,36.1,86.9,15.9,69.9,0.8,21.6,6.8,85.8,38.7,49.1,168.1,26.6,38.8,33.6,10.6,34.4,35.2,8.8,0.8,99.6,221.9,70.3,27.0,16.9,72.9,17.9,94.0,0.7,30.9,8.5,71.9,57.5,53.8,85.5,37.3,56.2,48.7,11.8,51.2,55.3,11.0,0.7,55.4,92.4
Hungary,31.5,31.7,1.0,37.5,21.2,804.5,14.3,102.7,29.5,229.6,170.7,175.7,1129.5,163.2,184.5,65.8,25.9,194.1,34.5,39.7,1.1,277.6,76.7,16.1,17.7,19.4,8.2,455.6,7.3,52.0,12.9,113.7,70.1,73.1,600.3,93.5,116.8,28.8,11.4,77.6,17.8,16.1,0.6,165.9,56.7,15.4,14.1,1.0,18.1,13.0,348.9,7.0,50.7,16.5,115.9,100.5,102.7,529.2,69.7,67.6,37.0,14.5,116.5,16.7,23.5,0.5,111.8,19.9
Iceland,0.5,1.2,0.0,0.8,0.2,14.1,0.1,1.4,0.8,8.4,7.1,3.4,11.7,3.8,1.4,1.3,1.0,6.2,1.1,1.4,0.1,4.8,2.6,0.3,0.6,0.4,0.1,7.0,0.1,0.8,0.3,4.1,2.9,1.6,6.8,1.8,0.7,0.5,0.4,2.6,0.5,0.7,0.0,2.9,2.1,0.2,0.7,0.0,0.3,0.1,7.0,0.1,0.5,0.5,4.3,4.3,1.7,4.8,2.0,0.7,0.8,0.6,3.6,0.6,0.8,0.0,1.8,0.5
India,61055.7,25522.9,2704.0,54847.7,22621.6,27909.3,552.2,11500.8,3428.7,27945.1,15424.6,20521.3,72208.9,29698.3,19944.1,13384.3,3756.5,17728.2,11314.1,3392.2,525.1,47175.4,15844.8,32526.6,11815.8,28483.9,8164.6,14015.8,288.8,6067.3,1642.4,15332.4,6857.4,9817.9,44053.8,16360.5,12442.8,6930.3,1789.8,7679.5,5210.9,1700.3,285.0,30761.8,9212.5,28529.1,13707.1,2704.0,26363.8,14456.9,13893.5,263.5,5433.4,1786.3,12612.6,8567.2,10703.3,28155.1,13337.8,7501.3,6454.0,1966.7,10048.7,6103.2,1691.8,240.1,16413.6,6632.3
Indonesia,12493.3,3029.1,586.5,5297.8,1651.0,6729.5,100.2,4033.0,585.8,4401.5,2953.5,3546.7,17962.1,3852.3,4465.7,2347.1,947.5,3085.8,1808.9,638.6,73.2,5696.5,1288.7,7445.1,1603.1,2955.4,520.3,3453.6,52.1,1864.8,224.4,2244.0,1277.3,1748.2,10114.3,2286.9,2654.6,1178.4,465.9,1336.5,995.0,296.2,39.2,3759.4,920.6,5048.2,1426.0,586.5,2342.5,1130.7,3276.0,48.1,2168.3,361.4,2157.4,1676.2,1798.5,7847.8,1565.5,1811.1,1168.6,481.5,1749.3,814.0,342.4,34.0,1937.1,368.1
Iran (Islamic Republic of),703.2,495.6,20.9,1062.9,188.0,1781.6,30.0,791.6,167.0,2563.4,1151.8,874.1,3411.0,533.7,329.8,575.4,202.4,1297.0,533.4,180.3,4.6,1977.1,583.5,455.3,255.3,552.1,83.5,955.6,14.8,384.7,69.7,1349.6,505.4,438.0,1911.4,297.1,172.9,250.6,96.0,522.0,273.7,91.4,2.4,1402.3,412.0,247.9,240.2,20.9,510.7,104.5,825.9,15.2,406.9,97.3,1213.9,646.4,436.1,1499.6,236.6,156.9,324.8,106.4,775.0,259.7,88.9,2.2,574.8,171.5
Iraq,550.9,634.8,43.1,1774.6,281.7,749.2,59.1,392.5,112.3,866.8,372.2,431.7,1345.5,210.7,120.2,277.0,108.8,348.4,632.6,68.9,21.1,880.8,3012.3,335.6,409.1,824.2,117.7,370.0,35.0,178.7,59.7,472.7,155.8,205.2,705.9,109.0,62.2,111.7,52.2,141.9,334.2,33.5,13.4,566.0,2054.1,215.3,225.7,43.1,950.4,164.0,379.2,24.1,213.8,52.6,394.1,216.4,226.4,639.6,101.7,58.1,165.2,56.6,206.5,298.3,35.4,7.6,314.8,958.2
Ireland,8.4,21.4,0.4,13.3,3.7,204.0,4.6,23.7,11.8,130.2,90.1,48.4,162.9,64.4,29.3,21.8,12.8,81.3,22.2,20.2,1.1,64.7,29.6,4.5,10.5,7.2,1.4,105.3,2.7,13.3,4.9,65.5,35.7,23.3,95.2,33.2,17.1,9.9,5.5,33.4,11.7,9.2,0.6,39.3,23.2,3.9,11.0,0.4,6.1,2.3,98.7,1.9,10.4,7.0,64.7,54.3,25.1,67.7,31.2,12.2,11.9,7.3,48.0,10.5,11.0,0.5,25.4,6.4
Israel,30.7,48.0,1.0,32.6,11.9,272.3,6.0,71.1,27.2,167.9,121.3,92.4,193.9,69.9,36.2,58.5,27.9,129.9,36.9,29.4,1.7,95.5,41.1,16.4,25.9,17.3,4.2,144.2,3.2,37.6,13.0,81.1,51.3,43.6,108.8,37.3,21.5,28.6,12.7,53.7,19.7,13.2,0.9,58.3,30.0,14.3,22.1,1.0,15.2,7.7,128.1,2.9,33.5,14.2,86.9,70.0,48.7,85.1,32.6,14.7,29.9,15.2,76.2,17.3,16.2,0.8,37.2,11.0
Italy,268.9,247.3,2.5,151.1,79.3,3500.1,147.0,579.1,223.5,1462.1,1400.2,1023.0,3352.1,712.7,521.3,404.9,159.3,1278.4,159.0,221.5,1.7,1019.1,211.6,150.7,124.4,78.8,27.5,1969.8,80.8,291.0,96.1,653.6,532.9,454.4,1727.5,390.1,304.1,184.3,66.4,523.8,83.6,98.3,0.9,574.6,151.1,118.2,122.9,2.5,72.3,51.8,1530.3,66.2,288.1,127.4,808.6,867.3,568.7,1624.6,322.6,217.1,220.6,92.9,754.6,75.4,123.2,0.7,444.6,60.5
Jamaica,61.9,15.4,2.8,49.8,15.9,95.3,4.3,66.9,8.9,59.3,36.1,37.2,112.6,23.8,16.5,29.3,11.3,41.4,17.7,9.3,0.4,35.8,66.7,42.4,8.1,27.3,6.0,51.3,2.1,28.9,4.2,29.2,15.5,17.5,56.2,14.1,9.8,14.4,5.3,17.4,9.0,4.2,0.3,24.5,52.2,19.6,7.3,2.8,22.5,9.9,44.0,2.2,38.0,4.6,30.1,20.6,19.7,56.4,9.6,6.7,14.9,6.0,23.9,8.7,5.1,0.1,11.3,14.5
Japan,380.1,1751.0,5.2,162.4,192.1,7330.4,219.0,1004.4,275.5,2575.4,2159.0,2210.2,5997.1,1989.7,1059.4,1138.7,354.3,2832.9,284.5,606.1,13.5,2098.1,980.3,202.0,993.7,82.1,40.8,4389.6,120.5,525.3,119.3,1232.4,821.5,1032.2,3180.2,1193.8,617.2,547.3,151.0,1250.7,143.7,301.0,7.7,1201.6,686.8,178.1,757.3,5.2,80.3,151.3,2940.8,98.5,479.2,156.2,1343.0,1337.5,1178.0,2817.0,795.9,442.2,591.4,203.3,1582.2,140.8,305.0,5.8,896.4,293.5
Jordan,55.4,68.3,8.4,201.2,35.6,147.5,6.0,96.1,26.2,176.9,101.8,73.5,335.5,53.7,44.5,80.0,22.2,102.1,128.3,16.0,1.3,233.1,35.6,29.7,35.3,109.3,13.0,77.6,3.2,51.0,11.2,92.6,44.7,37.4,194.4,29.8,22.9,33.9,10.5,44.3,63.0,8.1,0.6,157.2,23.9,25.7,33.1,8.4,91.8,22.5,69.9,2.8,45.0,15.1,84.3,57.2,36.1,141.1,23.9,21.5,46.0,11.8,57.8,65.4,7.8,0.7,76.0,11.7
Kazakhstan,137.0,153.2,3.2,202.7,132.7,738.8,8.7,73.6,36.6,441.3,203.8,212.9,1668.0,195.1,347.6,132.2,41.5,198.1,118.2,59.7,8.0,623.2,288.5,83.9,97.5,114.3,46.9,389.4,3.8,32.2,18.5,252.6,78.6,94.2,937.3,118.0,220.6,55.5,18.6,83.0,66.6,24.8,4.3,433.4,235.3,53.1,55.7,3.2,88.5,85.9,349.5,4.9,41.4,18.1,188.8,125.3,118.7,730.8,77.1,127.0,76.7,22.8,115.1,51.6,34.9,3.8,189.9,53.2
Kenya,6925.3,1342.3,354.6,2824.4,651.3,953.1,23.6,131.8,133.9,833.1,340.9,469.3,628.4,220.7,304.0,173.3,189.4,321.8,697.2,81.2,32.2,1608.8,266.8,3919.6,708.5,1568.6,327.3,440.9,14.1,80.9,69.2,426.9,154.1,243.2,339.0,106.3,196.0,80.7,87.7,163.1,398.4,39.1,18.3,1106.7,205.9,3005.7,633.8,354.6,1255.8,324.0,512.2,9.5,50.9,64.7,406.1,186.7,226.1,289.4,114.5,108.0,92.5,101.7,158.7,298.7,42.1,13.9,502.1,60.9
Kiribati,5.2,3.6,0.2,6.4,1.9,2.7,0.0,3.5,0.5,2.0,1.1,1.4,6.4,2.3,1.8,1.1,0.5,1.2,2.1,0.1,0.1,2.3,1.8,2.7,1.9,3.3,0.8,1.3,0.0,1.7,0.3,1.1,0.5,0.6,3.9,1.4,1.0,0.4,0.3,0.5,1.5,0.1,0.0,1.4,1.4,2.5,1.7,0.2,3.0,1.1,1.4,0.0,1.8,0.2,0.9,0.7,0.7,2.5,0.9,0.8,0.7,0.3,0.7,0.5,0.1,0.1,1.0,0.4
Kuwait,24.8,30.6,0.6,25.7,12.8,51.6,2.1,27.7,5.5,103.3,38.2,33.2,151.5,21.7,14.4,21.5,9.6,57.7,29.4,10.1,0.9,85.0,13.3,16.2,17.1,14.0,4.6,26.8,1.1,16.1,2.5,57.9,18.5,19.0,113.4,12.5,8.1,8.9,5.0,29.4,15.5,5.9,0.4,67.1,9.8,8.6,13.5,0.6,11.6,8.1,24.7,1.0,11.6,3.0,45.3,19.7,14.2,38.1,9.1,6.3,12.6,4.6,28.3,13.9,4.2,0.5,18.0,3.5
