Country,Infectious_and_parasitic_diseases,Respiratory_Infectious,Maternal_conditions,Neonatal_conditions,Nutritional_deficiencies,Malignant_neoplasms,Other_neoplasms,Diabetes_mellitus,Endocrine_blood_immune_disorders,Mental_and_substance_use_disorders,Neurological_conditions,Sense_organ_diseases,Cardiovascular_diseases,Respiratory_diseases,Digestive_diseases,Genitourinary_diseases,Skin_diseases,Musculoskeletal_diseases,Congenital_anomalies,Oral_conditions,Sudden_infant_death_syndrome,Unintentional_injuries,Intentional_injuries,id,Population
Afghanistan,2336.7,1424.9,225.3,3675.8,233.5,898.1,48.6,338.0,180.2,759.7,338.7,373.2,1570.7,315.0,267.7,308.2,89.8,298.2,666.4,55.2,38.2,1329.8,2372.6,AFG,"34,656"
Albania,10.0,14.4,0.6,19.8,6.6,137.9,8.2,10.1,7.9,55.2,48.8,47.4,284.6,21.7,18.9,20.9,6.9,45.6,18.3,10.5,1.2,71.1,17.3,ALB,"2,926"
Algeria,460.0,461.5,62.0,1169.5,181.1,871.8,22.7,407.8,118.4,927.8,581.4,593.2,1576.5,279.3,219.7,348.1,111.4,611.1,483.8,102.5,24.4,1023.3,195.5,DZA,"40,606"
Angola,5256.8,1866.6,214.4,2959.0,746.3,310.3,19.9,107.6,157.9,480.7,232.0,280.9,671.4,215.1,395.4,145.4,125.4,170.8,709.8,37.5,51.5,1277.6,287.8,AGO,"28,813"
Antigua and Barbuda,1.2,0.8,0.2,0.6,0.6,3.4,0.1,1.7,0.7,2.2,1.1,1.0,5.0,1.0,0.7,0.8,0.4,1.4,0.7,0.3,0.0,2.3,0.1,ATG,101
Argentina,444.1,613.6,29.1,372.0,88.9,1658.8,80.0,350.6,101.1,1112.5,483.6,520.3,1832.1,733.7,451.1,401.8,150.6,845.2,299.6,129.0,21.5,910.2,391.4,ARG,"43,847"
Armenia,18.3,14.0,0.6,26.1,8.2,208.1,2.2,36.5,4.9,60.4,40.9,52.3,227.7,26.8,36.4,28.6,7.2,42.3,19.7,12.2,0.3,70.9,12.9,ARM,"2,925"
Australia,59.4,81.3,2.4,75.3,14.5,998.8,27.2,156.6,60.1,802.4,458.1,257.3,749.5,312.4,138.3,105.5,70.7,527.9,69.8,97.4,5.5,342.0,168.4,AUS,"24,126"
Austria,21.5,27.7,0.4,23.5,7.3,451.9,12.6,76.8,37.8,236.7,160.2,116.3,508.0,98.6,80.5,61.9,22.5,164.8,31.5,46.4,0.7,157.8,56.8,AUT,"8,712"
Azerbaijan,117.8,93.6,3.1,242.0,44.7,346.2,1.2,70.9,31.9,209.2,114.4,127.8,726.8,67.1,107.7,75.3,22.4,113.7,88.1,31.7,3.5,213.6,40.0,AZE,"9,725"
Bahamas,14.8,3.0,0.3,3.2,1.5,14.5,0.2,5.3,1.5,8.8,4.5,4.7,16.9,2.4,3.0,3.6,1.5,6.1,1.3,1.4,0.1,6.4,6.7,BHS,391
Bahrain,7.5,3.9,0.3,8.3,6.5,15.4,0.3,22.3,5.9,37.1,15.2,13.0,24.0,6.8,4.8,9.0,3.6,21.1,8.8,3.4,0.1,18.3,6.1,BHR,"1,425"
Bangladesh,5486.9,2211.2,321.7,5069.7,1056.5,3404.3,70.0,1070.0,401.8,3489.2,1727.7,2192.8,6885.8,2315.1,1521.6,1094.5,508.6,2239.0,1463.4,295.3,127.6,3660.7,897.7,BGD,"162,952"
Barbados,4.3,4.9,0.1,2.7,1.2,16.5,0.6,7.5,1.9,6.2,4.9,4.3,18.1,2.9,2.8,3.8,1.0,5.5,1.7,1.3,0.1,4.7,1.5,BRB,285
Belarus,104.0,42.6,1.0,29.7,11.9,499.0,2.2,40.8,14.6,342.3,158.3,151.9,1420.0,75.0,144.6,64.1,22.5,158.6,39.4,36.8,1.5,376.0,136.0,BLR,"9,480"
Belgium,44.5,89.4,1.2,30.4,14.3,616.8,25.9,66.5,38.7,306.2,274.7,154.3,523.9,175.6,114.2,80.6,33.6,224.6,35.9,58.5,2.0,224.4,101.3,BEL,"11,358"
Belize,12.0,3.6,0.2,7.1,2.2,9.1,0.3,5.6,1.0,7.6,3.6,3.4,12.3,3.0,3.3,3.7,1.3,4.0,3.1,0.9,0.1,8.3,7.1,BLZ,367
Benin,1875.8,760.0,88.8,1136.1,395.6,154.9,8.7,58.8,193.1,213.9,115.5,119.3,412.7,104.3,206.9,126.7,43.5,87.5,241.4,19.0,17.5,580.0,103.0,BEN,"10,872"
Bhutan,32.1,12.4,1.4,21.6,10.4,15.0,0.3,8.3,2.8,18.3,10.1,8.9,41.6,15.0,13.8,10.4,2.5,10.1,7.4,1.6,0.5,26.3,6.1,BTN,798
Bolivia (Plurinational State of),286.7,265.2,29.1,385.9,113.9,234.8,8.1,110.7,26.3,245.8,124.8,149.5,455.8,107.2,200.5,145.9,35.6,119.1,149.5,29.9,2.1,414.0,174.3,BOL,"10,888"
Bosnia and Herzegovina,10.8,10.9,0.4,16.7,10.8,179.6,3.3,70.1,7.4,85.2,67.5,79.1,385.4,36.3,38.9,29.5,8.7,65.1,12.7,17.6,0.1,91.0,26.3,BIH,"3,517"
Botswana,307.7,45.3,5.1,107.2,15.9,40.7,2.3,33.4,7.1,52.2,26.0,24.5,70.1,24.4,13.6,14.5,8.2,21.2,27.1,4.9,0.7,59.1,27.5,BWA,"2,250"
Brazil,2949.4,2382.1,96.7,2103.6,1072.4,6636.6,138.7,2139.0,671.5,6046.8,2822.3,3041.5,9214.1,2200.9,2521.9,1510.9,797.0,3289.1,1445.0,744.6,18.5,5092.9,4598.0,BRA,"207,653"
Brunei Darussalam,1.9,2.0,0.1,2.8,0.8,12.6,0.1,6.6,1.0,8.3,4.6,3.0,13.8,3.8,1.9,3.4,1.2,5.8,2.9,1.0,0.1,8.1,1.6,BRN,423
Bulgaria,28.2,45.7,0.7,30.5,14.6,487.7,5.0,67.5,16.3,149.8,97.0,135.9,1250.6,110.7,120.9,71.4,17.2,129.9,25.5,33.6,0.3,193.6,37.2,BGR,"7,131"
Burkina Faso,3748.3,1035.2,157.4,1603.3,647.8,300.8,17.4,85.8,374.4,332.1,154.6,172.7,622.7,133.1,295.2,142.3,87.9,131.2,335.6,27.1,24.9,962.9,205.0,BFA,"18,646"
Burundi,1810.2,688.7,189.4,930.0,400.3,248.3,9.6,56.0,56.9,223.6,101.0,112.3,358.6,106.6,189.4,64.8,51.1,73.3,199.4,15.3,18.1,686.2,138.1,BDI,"10,524"
Cambodia,627.2,359.2,32.4,477.5,147.5,446.6,6.6,102.8,44.6,289.3,160.6,233.2,611.1,160.8,385.7,102.3,61.2,171.7,130.2,22.6,4.9,504.5,100.6,KHM,"15,762"
Cameroon,5114.4,1527.5,298.1,1766.1,502.4,520.5,19.6,168.6,322.5,483.7,259.5,204.7,905.5,229.2,525.4,306.0,93.5,186.5,563.6,39.5,36.3,1389.9,346.8,CMR,"23,439"
Canada,125.5,142.0,2.1,139.3,25.1,1711.6,33.4,312.1,97.4,1063.6,729.0,394.7,1237.9,429.9,258.2,187.6,114.3,783.7,106.8,143.1,5.8,603.1,249.4,CAN,"36,290"
Cape Verde,11.7,8.7,0.5,9.4,5.5,10.3,0.2,3.7,1.1,11.9,5.9,5.6,22.0,3.6,4.0,4.3,1.8,4.8,6.0,1.1,0.4,10.6,5.3,CPV,540
Central African Republic,1602.9,392.3,76.1,575.8,174.0,91.6,4.3,28.9,31.9,104.1,43.1,72.1,197.6,52.1,84.8,35.0,17.3,41.4,97.1,8.8,7.0,261.8,171.0,CAF,"4,595"
Chad,3906.9,2082.3,398.9,1871.9,604.3,218.8,11.0,77.2,182.8,274.1,145.4,152.4,611.1,151.7,357.6,189.3,55.2,103.8,390.5,23.3,21.4,994.0,176.2,TCD,"14,453"
Chile,105.3,91.2,4.2,94.3,31.6,662.8,29.7,148.9,37.3,498.3,248.7,241.6,631.2,178.6,233.6,132.1,53.3,404.6,105.0,67.3,3.9,301.0,144.4,CHL,"17,910"
China,8821.6,6191.0,298.2,7566.1,1995.0,61112.8,1205.5,9289.4,2937.7,31095.0,18106.8,19904.7,97208.2,20826.4,9776.5,10505.4,3794.0,19790.7,5290.9,2890.1,70.9,31343.7,6350.3,CHN,"1,411,415"
Colombia,585.4,400.5,44.5,497.2,136.6,1688.3,140.7,412.3,105.3,916.8,607.6,713.1,1947.8,488.5,435.3,353.5,157.5,670.4,361.0,158.9,4.9,1112.3,1481.6,COL,"48,653"
Comoros,69.7,44.3,5.2,71.9,18.5,18.2,0.8,5.3,3.2,14.9,7.7,9.0,29.6,6.7,11.4,5.3,4.1,5.8,12.8,1.2,1.1,33.8,6.9,COM,796
Congo,803.9,179.0,46.8,304.9,128.0,62.1,2.7,28.5,19.9,90.9,44.1,51.8,150.0,38.0,76.1,28.1,20.2,37.0,87.9,7.9,4.8,207.8,60.2,COG,"5,126"
Costa Rica,33.8,23.7,1.5,27.4,7.4,150.0,8.7,40.3,9.6,98.9,66.1,69.6,157.8,42.4,53.3,34.7,14.1,66.3,30.3,17.3,0.3,88.5,50.1,CRI,"4,857"
CÂte d'Ivoire,4967.0,1956.9,420.6,2688.8,707.9,368.8,15.0,218.6,323.0,458.5,265.8,243.7,1462.1,303.4,697.1,365.3,93.9,187.5,582.8,43.6,26.3,1527.9,372.4,CIV,"23,696"
Croatia,14.4,13.4,0.3,13.7,4.2,316.0,5.5,49.5,8.0,100.4,71.6,79.8,397.6,44.4,57.7,33.8,9.9,80.5,15.6,21.4,0.5,114.1,31.3,HRV,"4,213"
Cuba,77.9,121.0,3.2,46.2,41.5,587.3,17.6,112.6,21.1,296.3,199.2,198.5,694.4,146.7,120.2,71.2,35.9,192.3,35.4,52.2,0.5,207.2,93.3,CUB,"11,476"
Cyprus,3.6,3.0,0.1,3.2,0.9,43.5,1.6,12.5,3.8,22.1,16.2,10.4,50.3,12.8,6.3,6.6,2.7,17.0,2.5,3.8,0.1,16.4,4.0,CYP,"1,170"
Czechia,48.3,69.9,0.7,28.7,21.1,635.4,11.5,126.2,30.0,233.6,174.7,170.2,854.6,118.5,141.5,73.7,27.8,193.2,27.6,47.3,1.0,323.0,67.6,CZE,"10,611"
Democratic People's Republic of Korea,538.4,212.9,18.0,310.4,144.2,1240.5,11.3,168.5,57.1,539.5,271.1,394.9,2065.2,709.1,214.0,205.2,74.1,354.9,152.2,49.7,2.2,687.8,214.8,PRK,"25,369"
Democratic Republic of the Congo,17802.8,5647.6,977.2,8273.1,3363.1,1435.2,59.1,370.3,552.1,1522.3,666.9,973.3,2237.9,720.6,1214.9,417.9,328.2,547.1,1781.2,124.4,185.4,4632.5,1061.9,COD,"78,736"
Denmark,18.6,34.2,0.4,21.8,5.5,346.3,6.2,46.2,18.9,162.9,124.0,53.2,228.7,97.4,53.8,30.2,16.3,149.7,19.3,29.1,0.2,80.7,29.9,DNK,"5,712"
Djibouti,103.6,37.0,3.8,58.0,24.8,20.9,1.5,7.6,4.0,18.6,10.7,10.5,41.1,7.9,17.1,8.1,4.7,7.6,12.1,1.5,0.8,41.8,7.8,DJI,942
Dominican Republic,251.6,125.5,9.5,358.5,41.5,276.3,8.9,100.0,24.8,223.1,119.7,125.5,569.0,76.3,103.0,94.2,32.4,124.2,121.8,30.8,0.9,323.7,163.9,DOM,"10,649"
Ecuador,204.7,191.4,14.9,286.4,38.7,401.1,28.1,204.2,35.3,362.9,176.8,212.6,459.6,114.9,182.7,111.7,52.7,200.4,186.9,49.2,2.4,502.2,156.9,ECU,"16,385"
Egypt,1167.6,1253.5,64.3,2558.8,429.8,2488.1,122.8,1091.0,341.3,1992.2,1160.8,1514.6,6349.3,1058.3,2201.5,862.4,245.0,1293.0,1505.0,208.4,53.1,1886.1,528.8,EGY,"95,689"
El Salvador,85.2,74.8,3.5,67.4,16.8,177.3,0.5,86.4,7.3,170.6,88.1,95.5,223.8,44.2,87.3,140.0,18.4,69.1,55.8,18.8,2.9,153.4,232.2,SLV,"6,345"
Equatorial Guinea,254.8,78.0,8.3,106.4,24.1,18.9,0.9,11.7,8.2,20.5,13.1,8.3,45.0,10.4,30.7,9.4,5.9,8.1,24.5,1.6,1.9,67.9,13.9,GNQ,"1,221"
Eritrea,416.9,213.2,40.4,237.6,118.9,110.9,3.7,32.3,17.3,102.5,45.4,55.7,183.2,44.2,76.5,29.4,22.3,31.0,61.2,7.3,4.6,207.2,49.1,ERI,"4,955"
Estonia,7.8,7.7,0.2,3.3,1.5,85.8,1.5,9.7,2.6,47.5,21.4,21.3,134.5,10.1,19.8,12.0,3.6,24.4,4.2,5.7,0.1,35.6,12.5,EST,"1,312"
Ethiopia,11042.7,4303.8,847.2,7186.5,1823.9,2012.5,104.4,528.7,340.4,2089.7,895.2,1176.7,3009.9,721.1,1483.3,622.5,450.0,679.9,1497.6,136.8,101.3,4448.7,1004.8,ETH,"102,403"
Fiji,15.4,11.1,0.4,12.7,5.6,20.7,1.8,53.5,4.8,15.7,8.8,11.1,63.8,13.9,5.1,11.8,4.0,12.5,9.3,1.4,0.1,20.5,4.2,FJI,899
Finland,9.6,12.6,0.2,12.4,3.8,260.1,6.0,38.0,12.2,183.5,185.7,64.9,330.4,55.5,65.2,22.8,15.4,112.5,19.9,26.1,0.7,111.8,43.9,FIN,"5,503"
France,203.2,305.4,7.0,208.0,76.4,3698.3,129.4,379.1,211.0,1836.6,1488.4,856.7,2432.6,613.3,537.3,345.2,189.6,1226.5,196.1,250.5,11.4,1149.2,431.6,FRA,"64,721"
Gabon,278.0,59.6,9.3,102.7,34.5,28.6,0.9,15.0,7.0,36.1,20.1,20.0,57.7,14.5,32.3,12.8,7.8,16.0,29.5,3.3,1.0,70.7,18.3,GAB,"1,980"
Gambia,266.5,101.0,32.9,188.9,63.8,23.4,1.3,7.8,17.7,37.3,18.5,17.2,68.1,15.8,28.0,17.6,7.9,13.9,45.3,4.0,2.3,95.1,18.6,GMB,"2,039"
Georgia,37.1,19.8,1.5,32.8,17.0,192.1,5.0,45.2,8.4,80.5,69.1,75.6,663.7,52.8,67.0,40.2,9.7,56.8,22.2,16.7,0.4,109.5,25.2,GEO,"3,925"
Germany,366.5,436.8,6.0,243.7,87.9,5006.8,135.4,776.5,292.3,2287.2,1873.7,1361.6,5518.3,1266.0,935.5,671.1,229.2,1829.1,265.1,413.5,9.7,1337.6,441.5,DEU,"81,915"
Ghana,3478.9,1085.1,164.3,1950.8,580.1,431.8,16.4,199.7,245.2,538.0,263.7,271.5,1153.5,201.0,445.6,248.9,101.4,220.3,480.7,45.8,11.7,1059.7,249.1,GHA,"28,207"
Greece,62.2,111.4,0.6,29.2,9.6,645.7,6.6,63.6,28.1,285.2,197.9,160.9,750.6,192.7,76.6,92.2,27.0,217.3,30.8,54.4,0.5,198.7,31.3,GRC,"11,184"
Grenada,0.9,1.4,0.0,1.6,0.6,4.0,0.1,2.4,1.0,2.4,1.1,1.2,5.5,0.8,1.0,0.8,0.6,1.6,0.6,0.3,0.1,2.6,0.4,GRD,107
Guatemala,370.7,315.5,23.1,463.2,123.4,242.0,17.4,249.4,37.4,386.3,166.2,195.0,332.7,99.0,241.6,153.0,49.3,151.7,169.1,40.9,10.3,504.6,294.7,GTM,"16,582"
Guinea,2663.9,896.1,168.9,968.6,313.3,159.5,8.6,76.1,163.0,240.6,114.9,145.9,525.5,129.4,222.7,115.3,45.2,100.1,229.7,22.0,13.6,602.5,113.5,GIN,"12,396"
Guinea-Bissau,371.9,119.0,15.5,204.8,39.5,25.7,1.6,10.1,13.0,34.6,14.5,21.3,61.0,14.8,23.1,16.3,6.4,14.8,39.4,3.4,2.1,75.4,15.2,GNB,"1,816"
Guyana,34.9,10.9,1.6,27.1,8.7,17.6,1.2,20.2,5.1,20.1,8.7,8.4,61.2,8.1,14.3,7.9,2.3,8.7,7.0,2.2,0.1,27.8,20.9,GUY,773
Haiti,838.4,477.8,64.0,596.5,199.5,204.0,3.8,152.9,77.3,233.5,122.7,144.6,780.2,152.9,179.3,124.8,37.3,119.1,174.8,26.4,5.5,555.5,276.1,HTI,"10,847"
Honduras,159.7,63.1,16.9,159.8,33.7,163.9,1.4,52.5,15.3,157.6,96.2,103.0,253.6,63.9,95.0,82.2,22.4,85.6,90.5,19.9,1.6,155.0,314.4,HND,"9,113"
Hungary,31.5,31.7,1.0,37.5,21.2,804.5,14.3,102.7,29.5,229.6,170.7,175.7,1129.5,163.2,184.5,65.8,25.9,194.1,34.5,39.7,1.1,277.6,76.7,HUN,"9,753"
Iceland,0.5,1.2,0.0,0.8,0.2,14.1,0.1,1.4,0.8,8.4,7.1,3.4,11.7,3.8,1.4,1.3,1.0,6.2,1.1,1.4,0.1,4.8,2.6,ISL,332
India,61055.7,25522.9,2704.0,54847.7,22621.6,27909.3,552.2,11500.8,3428.7,27945.1,15424.6,20521.3,72208.9,29698.3,19944.1,13384.3,3756.5,17728.2,11314.1,3392.2,525.1,47175.4,15844.8,IND,"1,324,171"
Indonesia,12493.3,3029.1,586.5,5297.8,1651.0,6729.5,100.2,4033.0,585.8,4401.5,2953.5,3546.7,17962.1,3852.3,4465.7,2347.1,947.5,3085.8,1808.9,638.6,73.2,5696.5,1288.7,IDN,"261,115"
Iran (Islamic Republic of),703.2,495.6,20.9,1062.9,188.0,1781.6,30.0,791.6,167.0,2563.4,1151.8,874.1,3411.0,533.7,329.8,575.4,202.4,1297.0,533.4,180.3,4.6,1977.1,583.5,IRN,"80,277"
Iraq,550.9,634.8,43.1,1774.6,281.7,749.2,59.1,392.5,112.3,866.8,372.2,431.7,1345.5,210.7,120.2,277.0,108.8,348.4,632.6,68.9,21.1,880.8,3012.3,IRQ,"37,203"
Ireland,8.4,21.4,0.4,13.3,3.7,204.0,4.6,23.7,11.8,130.2,90.1,48.4,162.9,64.4,29.3,21.8,12.8,81.3,22.2,20.2,1.1,64.7,29.6,IRL,"4,726"
Israel,30.7,48.0,1.0,32.6,11.9,272.3,6.0,71.1,27.2,167.9,121.3,92.4,193.9,69.9,36.2,58.5,27.9,129.9,36.9,29.4,1.7,95.5,41.1,ISR,"8,192"
Italy,268.9,247.3,2.5,151.1,79.3,3500.1,147.0,579.1,223.5,1462.1,1400.2,1023.0,3352.1,712.7,521.3,404.9,159.3,1278.4,159.0,221.5,1.7,1019.1,211.6,ITA,"59,430"
Jamaica,61.9,15.4,2.8,49.8,15.9,95.3,4.3,66.9,8.9,59.3,36.1,37.2,112.6,23.8,16.5,29.3,11.3,41.4,17.7,9.3,0.4,35.8,66.7,JAM,"2,881"
Japan,380.1,1751.0,5.2,162.4,192.1,7330.4,219.0,1004.4,275.5,2575.4,2159.0,2210.2,5997.1,1989.7,1059.4,1138.7,354.3,2832.9,284.5,606.1,13.5,2098.1,980.3,JPN,"127,749"
Jordan,55.4,68.3,8.4,201.2,35.6,147.5,6.0,96.1,26.2,176.9,101.8,73.5,335.5,53.7,44.5,80.0,22.2,102.1,128.3,16.0,1.3,233.1,35.6,JOR,"9,456"
Kazakhstan,137.0,153.2,3.2,202.7,132.7,738.8,8.7,73.6,36.6,441.3,203.8,212.9,1668.0,195.1,347.6,132.2,41.5,198.1,118.2,59.7,8.0,623.2,288.5,KAZ,"17,988"
Kenya,6925.3,1342.3,354.6,2824.4,651.3,953.1,23.6,131.8,133.9,833.1,340.9,469.3,628.4,220.7,304.0,173.3,189.4,321.8,697.2,81.2,32.2,1608.8,266.8,KEN,"48,462"
Kiribati,5.2,3.6,0.2,6.4,1.9,2.7,0.0,3.5,0.5,2.0,1.1,1.4,6.4,2.3,1.8,1.1,0.5,1.2,2.1,0.1,0.1,2.3,1.8,KIR,114
Kuwait,24.8,30.6,0.6,25.7,12.8,51.6,2.1,27.7,5.5,103.3,38.2,33.2,151.5,21.7,14.4,21.5,9.6,57.7,29.4,10.1,0.9,85.0,13.3,KWT,"4,053"
Kyrgyzstan,72.1,78.5,6.4,147.1,44.3,127.1,4.3,21.3,10.6,137.6,64.5,68.3,419.0,45.8,106.4,43.9,14.8,59.9,62.5,15.4,1.7,154.8,49.2,KGZ,"5,956"
